Sr. No. ,Institute Code ,Institute Name 
1,6001,"Department of  Management Sciences (PUMBA), University of Pune"
2,6002,"Department of Commerce & Management, Shivaji University, Kolhapur"
3,6003,"Department of Management,  Punyashlok Ahilyadevi Holkar Solapur University, Solapur"
4,6004,"Government College of Engineering & Research, Avasari Khurd"
5,6005,"Government College of Engineering, Karad"
6,6006,COEP Technological University 
7,6007,"Walchand College of Engineering, Sangli"
8,6008,"Government College of Pharmacy, Karad"
9,6009,"B.K.P.S. College of Architecture, Pune"
10,6010,"Government Polytechnic, Kolhapur"
11,6011,"Government Polytechnic, Awasari (khurd)"
12,6013,"Government Polytechnic, Pune"
13,6014,"Government Residence Women Polytechnic, Tasgaon "
14,6015,"Government Polytechnic, Miraj"
15,6016,"Government Polytechnic, Karad"
16,6017,"Government Polytechnic, Solapur"
17,6018,"Institute of Civil and Rural Engineering(aided), Gargoti, Kolhapur"
18,6019,"Maharashtra  Institute of  Printing Technology(Aided), Pune"
19,6020,"Cusrow Wadia Institute of Technology( Aided ), Pune "
20,6023,"Kolhapur District Chemist Asso. Inst. Of Pharmacy, Kolhapur"
21,6024,"Bharti Vidyapeeth's Institute of Pharmacy (Aided Wing), Pune"
22,6025,"Shri Swami Vivekanand Shikshan Santha's Institute Of Pharmacy,Miraj"
23,6026,"Dakshin Solapur Taluka Shikshan Mandal's College Of Pharmacy (Poly), Solapur"
24,6027,"Maharashtra State Institute of Hotel Management & Catering Technology,Pune"
25,6028,"Department of Technology, Shivaji University, Kolhapur"
26,6029,"Yashwantrao Chavan School of Rural Development, Kolhapur"
27,6031,"Punyashlok Ahilyadevi Holkar Solapur University, Solapur"
28,6032,"DEPARTMENT OF PHARMACY, AFMC, PUNE"
29,6033,"Department of Computer Science, Savitribai Phule Pune University, Pune"
30,6034,"Department of Computer Science, Solapur University, Solapur(SHIFTED TO 6031 )"
31,6035,"Savitribai Phule Pune University Department , Pune"
32,6102,"Audyogik Shikshan Mandal's Institute of Business Management & Research MBA Institute, Pune"
33,6103,"Shree C. E. Society's Indira Institute of Management, Pune"
34,6104,"Dr. D.Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Management & Research, Pimpri"
35,6105,"Dr. Vikhe Patil Foundation's, Pravara Centre for Management Research & Development, Pune"
36,6106,"Institute of Science,Poona's Institute of Business Management & Research, Pune"
37,6107,"Poona District Education  Association's,  Mahatma Phule Institute of Management & Computer Studies, Pune"
38,6108,"Marathwada Mitra Mandal's Institute of Mangement Education Research & Training, Pune"
39,6109,"MAEER's MIT School of Management, Pune"
40,6110,"Modern Education Society's Neville Wadia Institute of Management Studies & Research, Pune"
41,6111,"Progressive Education Society’s Modern Institute of Computer Application, Nigdi, Pune"
42,6112,"Shivnagar Vidyaprasarak Mandal's Institute of Management, Baramati"
43,6113,"Sinhgad Technical Education Society's Sinhgad Institute of Management, Vadgaon (Budruk), Pune"
44,6114,"Maharshi Karve Sreeshikshan Sanstha's Smt. Hiraben Nanavati Instiute of Management & Research for Women, Pune"
45,6115,"Allana Institute of Management Sciences, Pune "
46,6116,"Vishwakarma Institute of Management, Pune "
47,6117,"Shri Shivaji Maratha Societys Institute of Management & Research, Pune "
48,6118,"All India Shri Shivaji Memorial Society's Institute of Management, Pune "
49,6119,"PIBM- Tirupati Institute of Management,  Pune "
50,6120,"Shri. Khanderai Pratishthans Dnyansagar Institute of Management and Research, Balewadi, Pune "
51,6121,"Rajgad Dnyanpeeths Rajgad  Institute of Management Development Research, Dhankawadi, Pune "
52,6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune"
53,6123,"S.N.G. Institute of Management & Research, Jaidwadi, Pune"
54,6124,"Kasturi Shikshan Sansta's Institute of Management, Shikhrapur"
55,6125,"Poona District Education  Association, Shankarrao Ursal College of Pharmacy(Diploma), Kharadi, Tal: Haveli"
56,6126,"Shree Santkrupa Shikshan Sanstha's College of Pharmacy(Diploma),Ghogaon,Satara"
